Country,Score,GDP_per_Capita,Life_Expectancy,Freedom,Family_Support,Corruption_Perception,Generosity
Afghanistan,3.512799982070922,0.35711344353485097,0.2547073557691574,0.117923904097557,0.40975266527557375,0.058093566011905684,0.2677301865158082
Albania,4.712600010681152,0.9386325506629944,0.7876959493293763,0.3718977269630432,0.7549310495796204,0.04320084319996834,0.16788658885860439
Algeria,5.667600043487548,1.012962893333436,0.6650569291496276,0.17843716158390038,1.07420549308014,0.14609922206878662,0.06921932939958572
Angola,3.872250019073488,0.7983795450544358,0.13390216640889646,0.027432500000000002,0.9383679899120325,0.07157008382618428,0.10526912250220774
Argentina,6.459399995422364,1.111035092521668,0.7608954167060852,0.4816198407802582,1.330960229034424,0.0643079775428772,0.092371412138939
Armenia,4.3931999855041495,0.8391333475723265,0.6978508851966858,0.2160286534719468,0.890872744155884,0.03876688430082798,0.08239361836528777
Australia,7.276199983978271,1.3948849870224,0.9145293585319519,0.6050434764595032,1.4090063904266361,0.3145727460727692,0.4160778499965668
Austria,7.142000008392334,1.398341452667236,0.8836796838417055,0.576929237915039,1.36396299269104,0.21426007308769218,0.29240046434974676
Azerbaijan,5.22920004119873,1.0736443531265258,0.6196531551818848,0.38054516765022284,1.03175005104065,0.1757555014209748,0.04913186805534362
Bahrain,6.1137999786376955,1.390482452201844,0.7252506069412232,0.5190833838310243,1.24346409224701,0.21075243391418458,0.2031516973667144
Bangladesh,4.580199960327148,0.5239965950584412,0.5933542067108154,0.47826733188247683,0.6383363481140136,0.1324475718774796,0.17895907042789458
Belarus,5.597999953460694,1.085019511993408,0.6987668533554079,0.3015380523757934,1.3381530432357782,0.1635567643346786,0.120003501821518
Belgium,6.92139995880127,1.375398152153016,0.8828703738708497,0.5387621444778442,1.357492539672852,0.23784462621307378,0.20888066752433782
Belize,5.955999950408938,0.8637117720158893,0.4599605886745453,0.5509397907447814,0.9563225996653233,0.09776369053840638,0.2199518802849453
Benin,3.90100001296997,0.3767450815467834,0.2752620422611236,0.4193865551891326,0.3404699687099456,0.07136780305576325,0.186069692234993
Bhutan,5.124800031280517,0.8235072777023316,0.5397078584976196,0.49846753612518324,1.201687302886962,0.1654860779619216,0.4346989090328216
Bolivia,5.813199990844725,0.7672613132095336,0.5393060499000549,0.5518965853691101,1.095163810386658,0.06878754523229598,0.18518014494705198
Bosnia and Herzegovina,5.161800032043457,0.9216938835258484,0.7613312614860533,0.17679263538074502,0.9844331875,0.0016539999999999999,0.2709674990119934
Botswana,3.830000006484986,1.053580830871582,0.3384071018753052,0.4906072665863038,1.107410998916626,0.10460263981676102,0.07904168964338301
Brazil,6.6578000457763675,1.033226642089844,0.6809444705810546,0.4430387493591308,1.323311200904846,0.1203925522317886,0.13496997892856602
Bulgaria,4.618600045013428,1.0865358176651,0.7359535360908508,0.2954583435173034,1.2987878916854858,0.007784306189954281,0.1010635388760566
Burkina Faso,4.07380001296997,0.31465954271698,0.2668128517332078,0.3239995702037812,0.9357400010910041,0.1229956211972236,0.2127729369163514
Burundi,3.078999994277954,0.062446513733387,0.21160815833663937,0.10132015064001085,0.4708167168693542,0.10699158900928499,0.18592103691959377
Cambodia,4.205400044250488,0.5482370192375183,0.5119726807746888,0.6378711646995544,0.876219668266296,0.06969919019031524,0.3361805936775208
Cameroon,4.695800034332276,0.5191550730171205,0.20137842338085182,0.43716774972915645,0.8520216437988282,0.05008532628321648,0.20785569135761262
Canada,7.350599996948242,1.388128883255004,0.90055753049469,0.6109541824188233,1.3874117982788081,0.3058463032455444,0.3895979444885254
Central African Republic,3.1342500195503225,0.032125,0.05019067147508262,0.3224080113863945,0.0,0.053113769028186805,0.24305662187337876
Chad,4.003400021743774,0.3820165974750518,0.09489494301605225,0.177684405365944,0.8038511744308472,0.058758376453638086,0.1931287700948716
Chile,6.5893999900817875,1.173326921958924,0.8449759407806396,0.39682105573844895,1.202872990768432,0.08849759642124176,0.2720484842453002
China,5.218999952697755,1.003417158111572,0.7971211001281737,0.5095755416088104,1.033679482376098,0.056210854922652244,0.04944936820018292
Colombia,6.339999974822998,0.9929104649887079,0.6716775847167968,0.49209948301506046,1.30261058733368,0.04497174837040902,0.13745689459228522
Comoros,3.9616666666666664,0.26271666666666665,0.38931999999999994,0.17509666666666668,0.7176533333333334,0.15379,0.21070333333333335
Congo (Brazzaville),4.377399977874756,0.7227428504943848,0.346717486787796,0.42301317416000356,0.7165868726043703,0.0928016267209053,0.11230042553424839
Congo (Kinshasa),4.346400041961671,0.06234246976089478,0.2076934049720764,0.23980626956367498,1.0595966913146981,0.0604482712984085,0.23167516666316978
Costa Rica,7.126199999237061,1.035655256523132,0.8322478530845642,0.5912283299942016,1.3151607302474981,0.10108131789922721,0.1964226458072662
Croatia,5.458600044250488,1.152317246681214,0.769115704257965,0.2859344585227966,0.959862601486206,0.03368462200903892,0.1451565952358246
Cyprus,5.732799962615966,1.274927615394592,0.913614940235138,0.3771803078727722,1.0291026545333861,0.04619559528040886,0.24973886021423342
Czech Republic,6.654600041198731,1.268562470413208,0.8274068006210328,0.4737532347335816,1.32484904334259,0.03465058541989326,0.08085135177850725
Denmark,7.5459999671936036,1.396728602554322,0.8652491049156188,0.6259593444900512,1.4476883185043339,0.42937401363372796,0.3188760977458954
Djibouti,4.369,0.44025,0.36291,0.46074,0.59207,0.28105,0.18093
Dominican Republic,5.199400003814698,0.9999227673034661,0.6425627490882875,0.545379966747284,1.282279341217042,0.1174010506386756,0.169933569946289
Ecuador,5.991999979400633,0.927780079666138,0.7533032444725036,0.47952763971138,1.157387762741088,0.1416809294977188,0.12125249300479882
Egypt,4.375200026702879,0.9246903614997863,0.5710934517440795,0.23929203092575077,0.8613202784309388,0.09111027309560779,0.1073202885570526
El Salvador,6.124199956512451,0.8296048991661072,0.6594777105560302,0.41992850593376163,1.097989018310546,0.09397419197845458,0.0863895970826149
Estonia,5.637800012207032,1.2378518680343622,0.7521516632728577,0.47822428607749945,1.363242219932556,0.17105578444576258,0.09178416224098206
Ethiopia,4.423200007629394,0.2933587690944672,0.41254794150924684,0.401274548488617,0.766209840751648,0.1467271427736282,0.2560241480293274
Finland,7.537799972534179,1.3569603850326541,0.8738355339088439,0.6215361713371277,1.43442934501648,0.398474308588028,0.217782554517746
